,node,strategy,action_vector,neighbors,degree,target,avail_letters,letters_needed,global_time,action_number,action,action_success,words_formed_bool,words_formed
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 7, 8]",5,share,"['z', 's', 'u', 'f', 's', 'r', 'n', 'i', 'w', 'j', 'b', 'a']",['e' 'h'],264,27,think,True,0,2
0,4,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 2, 3]",4,other,"['u', 'l', 'k', 'o', 's', 'r', 'h', 'e', 'f', 'm', 'g', 'a', 'n', 'q', 'b']",['t'],265,27,steal,True,0,0
0,5,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 3, 7, 9]",6,fixer,"['e', 'x', 'x', 'j', 'r', 'i', 'l', 'f', 'z', 'h', 'a', 's', 'b', 'w']",[],266,27,steal,False,0,1
0,6,altruistic,[0.1 0.2 0.4 0.3],"[1, 7, 8, 9]",4,final,"['x', 'a', 'w', 'n', 'j', 'l']",['f' 'i'],267,27,pass,True,0,1
0,7,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 3, 5, 6]",5,heart,"['j', 'h', 'w', 'z', 'b', 'r', 't', 'x', 'f', 'n', 'l']",['a' 'e'],268,27,steal,True,0,1
0,8,altruistic,[0.1 0.2 0.4 0.3],"[3, 6]",2,after,"['a', 'r', 'i', 'y', 'n', 'e', 't', 'x', 'j', 'w']",['f'],269,27,pass,True,0,0
0,9,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 5, 6]",4,earth,"['t', 'p', 'k', 'z', 'i', 'r', 'e', 'h', 'a', 'j', 'f', 'b', 'n']",[],270,27,steal,False,0,1
0,0,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 4, 5, 7]",6,while,"['f', 'l', 'm', 'i', 'j', 'k', 'b', 'u', 'w', 'q', 'x', 'h', 'o', 'p', 'z']",['e'],271,28,form,True,1,4
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 4, 5, 6, 7, 9]",6,their,"['l', 'f', 'p', 'a', 'q', 't', 'r', 'x', 'n', 'h', 'w', 'j', 'z', 's', 'b', 'i', 'k', 'm', 'u']",['e'],272,28,pass,True,0,0
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 9]",4,along,"['b', 'm', 'h', 'n', 'g', 'a', 'o', 'p', 'j', 'l', 's', 'i', 'f', 'k']",[],273,28,steal,False,0,1
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 7, 8]",5,share,"['z', 's', 'u', 'f', 's', 'r', 'n', 'i', 'w', 'j', 'b', 'a']",['e' 'h'],274,28,pass,True,0,2
0,4,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 2, 3]",4,other,"['u', 'l', 'k', 'o', 's', 'r', 'h', 'e', 'f', 'm', 'g', 'a', 'n', 'q', 'b']",['t'],275,28,think,True,0,0
0,5,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 3, 7, 9]",6,fixer,"['e', 'x', 'x', 'j', 'r', 'i', 'l', 'f', 'z', 'h', 'a', 's', 'b', 'w']",[],276,28,steal,False,0,1
0,6,altruistic,[0.1 0.2 0.4 0.3],"[1, 7, 8, 9]",4,final,"['x', 'a', 'w', 'n', 'j', 'l', 'i', 'f']",[],277,28,think,True,0,1
0,7,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 3, 5, 6]",5,heart,"['j', 'h', 'w', 'z', 'b', 'r', 't', 'e', 'x', 'f', 'n', 'l']",['a'],278,28,steal,True,0,1
0,8,altruistic,[0.1 0.2 0.4 0.3],"[3, 6]",2,after,"['a', 'r', 'i', 'y', 'n', 'e', 't', 'x', 'j', 'w', 'f']",[],279,28,think,True,0,0
0,9,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 5, 6]",4,earth,"['t', 'p', 'k', 'z', 'i', 'r', 'e', 'h', 'a', 'j', 'f', 'b', 'n']",[],280,28,steal,False,0,1
0,0,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 4, 5, 7]",6,while,"['f', 'l', 'm', 'i', 'j', 'k', 'b', 'u', 'w', 'q', 'x', 'h', 'o', 'p', 'z']",['e'],281,29,think,True,0,4
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 4, 5, 6, 7, 9]",6,their,"['l', 'f', 'p', 'a', 'q', 't', 'r', 'e', 'x', 'n', 'h', 'w', 'j', 'z', 's', 'b', 'i', 'k', 'm', 'u']",[],282,29,steal,True,0,0
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 9]",4,along,"['b', 'm', 'h', 'n', 'g', 'a', 'o', 'p', 'j', 'l', 's', 'i', 'f', 'k']",[],283,29,steal,False,0,1
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 7, 8]",5,share,"['z', 's', 'u', 'f', 's', 'r', 'n', 'i', 'w', 'j', 'b', 'a']",['e' 'h'],284,29,form,False,0,2
0,4,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 2, 3]",4,other,"['u', 'l', 'k', 'o', 's', 'r', 'h', 'e', 'f', 'm', 'g', 'a', 'n', 'q', 'b']",['t'],285,29,pass,True,0,0
0,5,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 3, 7, 9]",6,waxes,"['e', 'x', 'x', 'j', 'r', 'l', 'z', 'h', 'a', 's', 'b', 'w']",[],286,29,form,True,1,2
0,6,altruistic,[0.1 0.2 0.4 0.3],"[1, 7, 8, 9]",4,final,"['x', 'a', 'w', 'n', 'j', 'l', 'i', 'f']",[],287,29,pass,True,0,1
0,7,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 3, 5, 6]",5,heart,"['j', 'h', 'w', 'z', 'b', 'r', 't', 'e', 'x', 'f', 'n', 'l']",['a'],288,29,think,True,0,1
0,8,altruistic,[0.1 0.2 0.4 0.3],"[3, 6]",2,after,"['a', 'r', 'i', 'y', 'n', 'e', 't', 'x', 'j', 'w', 'f']",[],289,29,think,True,0,0
0,9,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 5, 6]",4,earth,"['t', 'p', 'k', 'z', 'i', 'r', 'e', 'h', 'a', 'j', 'f', 'b', 'n', 'w']",[],290,29,steal,False,0,1
0,0,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 4, 5, 7]",6,while,"['f', 'l', 'm', 'i', 'j', 'k', 'b', 'u', 'w', 'q', 'x', 'h', 'o', 'p', 'z']",['e'],291,30,think,True,0,4
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 4, 5, 6, 7, 9]",6,their,"['l', 'f', 'p', 'a', 'q', 't', 'r', 'e', 'x', 'n', 'h', 'w', 'j', 'z', 's', 'b', 'i', 'k', 'm', 'u', 'o']",[],292,30,pass,True,0,0
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 9]",4,along,"['b', 'm', 'h', 'n', 'g', 'a', 'o', 'p', 'j', 'l', 's', 'i', 'f', 'k']",[],293,30,steal,False,0,1
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 7, 8]",5,share,"['z', 's', 'u', 'f', 's', 'r', 'n', 'i', 'w', 'j', 'b', 'a']",['e' 'h'],294,30,form,False,0,2
0,4,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 2, 3]",4,other,"['u', 'l', 'k', 'o', 's', 'r', 'h', 'e', 'f', 'm', 'g', 'a', 'n', 'q', 'b', 'p']",['t'],295,30,form,False,0,0
0,5,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 3, 7, 9]",6,relax,"['e', 'x', 'x', 'j', 'r', 'l', 'z', 'h', 'b']",['a'],296,30,form,True,1,3
0,6,altruistic,[0.1 0.2 0.4 0.3],"[1, 7, 8, 9]",4,final,"['x', 'a', 'w', 'n', 'j', 'l', 'i', 'f']",[],297,30,pass,True,0,1
0,7,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 3, 5, 6]",5,heart,"['j', 'h', 'w', 'z', 'b', 'r', 't', 'e', 'x', 'f', 'n', 'l']",['a'],298,30,think,True,0,1
0,8,altruistic,[0.1 0.2 0.4 0.3],"[3, 6]",2,after,"['a', 'r', 'i', 'y', 'n', 'e', 't', 'x', 'j', 'w', 'f']",[],299,30,think,True,0,0
0,9,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 5, 6]",4,earth,"['t', 'p', 'k', 'z', 'i', 'r', 'e', 'h', 'a', 'j', 'f', 'b', 'n', 'w']",[],300,30,steal,False,0,1
0,0,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 4, 5, 7]",6,while,"['f', 'l', 'm', 'i', 'j', 'k', 'b', 'u', 'w', 'q', 'x', 'h', 'o', 'p', 'z']",['e'],301,31,think,True,0,4
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 4, 5, 6, 7, 9]",6,their,"['l', 'f', 'p', 'a', 'q', 't', 'r', 'e', 'x', 'n', 'h', 'w', 'j', 'z', 's', 'b', 'i', 'k', 'm', 'u', 'o']",[],302,31,think,True,0,0
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 9]",4,along,"['b', 'm', 'h', 'n', 'g', 'a', 'o', 'p', 'j', 'l', 's', 'i', 'f', 'k']",[],303,31,pass,True,0,1
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 7, 8]",5,share,"['z', 's', 'u', 'f', 's', 'r', 'e', 'n', 'i', 'w', 'j', 'b', 'a']",['h'],304,31,steal,True,0,2
0,4,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 2, 3]",4,other,"['u', 'l', 'k', 'o', 's', 'r', 'h', 'e', 'f', 'm', 'g', 'a', 'n', 'q', 'b', 'p']",['t'],305,31,think,True,0,0
0,5,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 3, 7, 9]",6,relax,"['e', 'x', 'x', 'j', 'r', 'l', 'z', 'h', 'b']",['a'],306,31,think,True,0,3
0,6,altruistic,[0.1 0.2 0.4 0.3],"[1, 7, 8, 9]",4,final,"['x', 'a', 'w', 'n', 'j', 'l', 'i', 'f']",[],307,31,think,True,0,1
0,7,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 3, 5, 6]",5,heart,"['j', 'h', 'w', 'z', 'b', 'r', 't', 'e', 'x', 'f', 'n', 'l']",['a'],308,31,pass,True,0,1
